% x, y, z, R, phi, psi, real(u_asym), imag(u_asym), real(v_asym), imag(v_asym), real(w_asym), imag(w_asym)
  0.966851E+000  0.000000E+000 -0.300746E+001  0.315905E+001  0.000000E+000  0.283054E+001  0.397598E-004  0.414967E-003  0.000000E+000  0.000000E+000  0.391734E-003  0.408730E-003
  0.919963E+000  0.000000E+000 -0.302213E+001  0.315905E+001  0.000000E+000  0.284610E+001  0.392736E-004  0.400864E-003  0.000000E+000  0.000000E+000  0.390837E-003  0.397300E-003
  0.872852E+000  0.000000E+000 -0.303607E+001  0.315905E+001  0.000000E+000  0.286165E+001  0.385062E-004  0.385583E-003  0.000000E+000  0.000000E+000  0.389889E-003  0.386081E-003
  0.825530E+000  0.000000E+000 -0.304928E+001  0.315905E+001  0.000000E+000  0.287720E+001  0.374906E-004  0.369242E-003  0.000000E+000  0.000000E+000  0.388914E-003  0.375153E-003
  0.778008E+000  0.000000E+000 -0.306175E+001  0.315905E+001  0.000000E+000  0.289275E+001  0.362541E-004  0.351942E-003  0.000000E+000  0.000000E+000  0.387928E-003  0.364583E-003
  0.730298E+000  0.000000E+000 -0.307348E+001  0.315905E+001  0.000000E+000  0.290831E+001  0.348203E-004  0.333774E-003  0.000000E+000  0.000000E+000  0.386947E-003  0.354431E-003
  0.682412E+000  0.000000E+000 -0.308447E+001  0.315905E+001  0.000000E+000  0.292386E+001  0.332096E-004  0.314817E-003  0.000000E+000  0.000000E+000  0.385983E-003  0.344745E-003
  0.634360E+000  0.000000E+000 -0.309471E+001  0.315905E+001  0.000000E+000  0.293941E+001  0.314400E-004  0.295142E-003  0.000000E+000  0.000000E+000  0.385048E-003  0.335570E-003
  0.586155E+000  0.000000E+000 -0.310420E+001  0.315905E+001  0.000000E+000  0.295496E+001  0.295279E-004  0.274816E-003  0.000000E+000  0.000000E+000  0.384151E-003  0.326943E-003
  0.537808E+000  0.000000E+000 -0.311294E+001  0.315905E+001  0.000000E+000  0.297052E+001  0.274879E-004  0.253901E-003  0.000000E+000  0.000000E+000  0.383299E-003  0.318898E-003
